TEAM_NAME,NEXT_GAMES
Atlanta Hawks,"vs POR, @ MIL, vs PHI, vs DAL, vs BKN"
Boston Celtics,"vs PHI, @ MIL, vs CHA, vs DAL, @ CLE"
Brooklyn Nets,"vs CLE, @ MIA, @ MIA, @ DET, vs MEM"
Charlotte Hornets,"vs POR, vs DAL, @ BOS, vs MIA, @ PHX"
Chicago Bulls,"vs MIL, vs OKC, @ PHX, @ SAC, @ GSW"
Cleveland Cavaliers,"@ BKN, vs DET, vs BOS, vs PHI, @ ORL"
Dallas Mavericks,"vs OKC, @ CHA, @ ORL, @ BOS, @ TOR"
Denver Nuggets,"vs MIN, @ UTA, vs LAL, vs NYK, @ OKC"
Detroit Pistons,"@ ORL, @ CLE, @ SAS, vs BKN, @ MIA"
Golden State Warriors,"vs LAL, vs LAC, @ HOU, @ OKC, @ UTA"
Houston Rockets,"@ MIA, @ WAS, vs GSW, vs POR, @ SAS"
Indiana Pacers,"vs MEM, @ LAC, @ LAL, @ POR, @ SAC"
LA Clippers,"vs NOP, @ GSW, vs IND, @ SAS, @ MEM"
Los Angeles Lakers,"@ GSW, vs SAC, vs NOP, @ DEN, vs IND"
Memphis Grizzlies,"@ IND, @ MIN, vs POR, vs LAC, @ BKN"
Miami Heat,"vs HOU, vs BKN, vs BKN, @ CHA, vs DET"
Milwaukee Bucks,"@ CHI, vs BOS, vs ATL, vs UTA, vs ORL"
Minnesota Timberwolves,"@ DEN, vs MEM, vs TOR, vs ORL, @ LAL"
NA NA,"@ NA, @ NA, @ NA, @ NA, @ NA"
New Orleans Pelicans,"@ UTA, @ LAC, @ LAL, @ SAC, @ PHX"
New York Knicks,"vs SAS, @ TOR, vs OKC, @ DEN, @ LAL"
Oklahoma City Thunder,"@ DAL, @ CHI, @ NYK, vs GSW, vs DEN"
Orlando Magic,"vs DET, vs WAS, vs DAL, @ MIN, @ MIL"
Philadelphia 76ers,"@ BOS, vs SAS, vs UTA, @ ATL, @ CLE"
Phoenix Suns,"@ SAC, vs CHI, vs NOP, vs CHA, @ MIL"
Portland Trail Blazers,"@ CHA, @ ATL, @ MEM, @ HOU, vs IND"
Sacramento Kings,"@ LAL, vs PHX, vs NOP, vs CHI, vs IND"
San Antonio Spurs,"@ NYK, @ PHI, vs DET, vs LAC, vs HOU"
Toronto Raptors,"@ WAS, vs NYK, @ MIN, vs DAL, @ HOU"
Utah Jazz,"vs NOP, vs DEN, @ PHI, @ WAS, @ MIL"
Washington Wizards,"vs TOR, vs HOU, @ ORL, vs UTA, @ NOP"
